task,sigma_s,sigma_r,wb,wg,wr,error
a,3,0.1,0.1,0.2,0.7,7187680
a,3,0.1,0.1,0.1,0.8,6697254
a,3,0.1,0.1,0.0,0.9,6141456
a,3,0.1,0.2,0.8,0.0,6989702
a,3,0.1,0.2,0.7,0.1,7340128
a,3,0.1,0.2,0.6,0.2,7565449
a,3,0.1,0.2,0.5,0.3,7697660
a,3,0.1,0.2,0.4,0.4,7722058
a,3,0.1,0.2,0.3,0.5,7611551
a,3,0.1,0.2,0.2,0.6,7342934
a,3,0.1,0.2,0.1,0.7,6940715
a,3,0.1,0.2,0.0,0.8,6441332
a,3,0.1,0.3,0.7,0.0,6824283
a,3,0.1,0.3,0.6,0.1,7088847
a,3,0.1,0.3,0.5,0.2,7270664
a,3,0.1,0.3,0.4,0.3,7420203
a,3,0.1,0.3,0.3,0.4,7406993
a,3,0.1,0.3,0.2,0.5,7241334
a,3,0.1,0.3,0.1,0.6,6913290
a,3,0.1,0.3,0.0,0.7,6513562
a,3,0.1,0.4,0.6,0.0,6534980
a,3,0.1,0.4,0.5,0.1,6753191
a,3,0.1,0.4,0.4,0.2,6879645
a,3,0.1,0.4,0.3,0.3,6948580
a,3,0.1,0.4,0.2,0.4,6894226
a,3,0.1,0.4,0.1,0.5,6708987
a,3,0.1,0.4,0.0,0.6,6390414
a,3,0.1,0.5,0.5,0.0,6101335
a,3,0.1,0.5,0.4,0.1,6269445
a,3,0.1,0.5,0.3,0.2,6333713
a,3,0.1,0.5,0.2,0.3,6351153
a,3,0.1,0.5,0.1,0.4,6289670
a,3,0.1,0.5,0.0,0.5,6092095
a,3,0.1,0.6,0.4,0.0,5532477
a,3,0.1,0.6,0.3,0.1,5733163
a,3,0.1,0.6,0.2,0.2,5735742
a,3,0.1,0.6,0.1,0.3,5790496
a,3,0.1,0.6,0.0,0.4,5688928
a,3,0.1,0.7,0.3,0.0,4982740
a,3,0.1,0.7,0.2,0.1,5133369
a,3,0.1,0.7,0.1,0.2,5188454
a,3,0.1,0.7,0.0,0.3,5162033
a,3,0.1,0.8,0.2,0.0,4479988
a,3,0.1,0.8,0.1,0.1,4547541
a,3,0.1,0.8,0.0,0.2,4593074
a,3,0.1,0.9,0.1,0.0,3967701
a,3,0.1,0.9,0.0,0.1,4026866
a,3,0.1,1.0,0.0,0.0,3569999
a,3,0.2,0.0,1.0,0.0,7119599
a,3,0.2,0.0,0.9,0.1,7286068
a,3,0.2,0.0,0.8,0.2,7390287
a,3,0.2,0.0,0.7,0.3,7452003
a,3,0.2,0.0,0.6,0.4,7467990
a,3,0.2,0.0,0.5,0.5,7445244
a,3,0.2,0.0,0.4,0.6,7363391
a,3,0.2,0.0,0.3,0.7,7261317
a,3,0.2,0.0,0.2,0.8,7086848
a,3,0.2,0.0,0.1,0.9,6829052
a,3,0.2,0.0,0.0,1.0,6455781
a,3,0.2,0.1,0.9,0.0,7180673
a,3,0.2,0.1,0.8,0.1,7326435
a,3,0.2,0.1,0.7,0.2,7421388
a,3,0.2,0.1,0.6,0.3,7471001
a,3,0.2,0.1,0.5,0.4,7478516
a,3,0.2,0.1,0.4,0.5,7441016
a,3,0.2,0.1,0.3,0.6,7358044
a,3,0.2,0.1,0.2,0.7,7227658
a,3,0.2,0.1,0.1,0.8,7046813
a,3,0.2,0.1,0.0,0.9,6760276
a,3,0.2,0.2,0.8,0.0,7181758
a,3,0.2,0.2,0.7,0.1,7321028
a,3,0.2,0.2,0.6,0.2,7390421
a,3,0.2,0.2,0.5,0.3,7439549
a,3,0.2,0.2,0.4,0.4,7428741
a,3,0.2,0.2,0.3,0.5,7387212
a,3,0.2,0.2,0.2,0.6,7286803
a,3,0.2,0.2,0.1,0.7,7138006
a,3,0.2,0.2,0.0,0.8,6947574
a,3,0.2,0.3,0.7,0.0,7134508
a,3,0.2,0.3,0.6,0.1,7254025
a,3,0.2,0.3,0.5,0.2,7306886
a,3,0.2,0.3,0.4,0.3,7348710
a,3,0.2,0.3,0.3,0.4,7339597
a,3,0.2,0.3,0.2,0.5,7278358
a,3,0.2,0.3,0.1,0.6,7162748
a,3,0.2,0.3,0.0,0.7,7006206
a,3,0.2,0.4,0.6,0.0,7023101
a,3,0.2,0.4,0.5,0.1,7125589
a,3,0.2,0.4,0.4,0.2,7180777
a,3,0.2,0.4,0.3,0.3,7205759
a,3,0.2,0.4,0.2,0.4,7185459
a,3,0.2,0.4,0.1,0.5,7117100
a,3,0.2,0.4,0.0,0.6,7002197
a,3,0.2,0.5,0.5,0.0,6848237
a,3,0.2,0.5,0.4,0.1,6946177
a,3,0.2,0.5,0.3,0.2,6979420
a,3,0.2,0.5,0.2,0.3,7006819
a,3,0.2,0.5,0.1,0.4,6982640
a,3,0.2,0.5,0.0,0.5,6894725
a,3,0.2,0.6,0.4,0.0,6611501
