task,sigma_s,sigma_r,wb,wg,wr,error
a,2,0.05,0.3,0.0,0.7,22077689
a,2,0.05,0.4,0.6,0.0,16811676
a,2,0.05,0.4,0.5,0.1,18062214
a,2,0.05,0.4,0.4,0.2,18980695
a,2,0.05,0.4,0.3,0.3,19796356
a,2,0.05,0.4,0.2,0.4,19968184
a,2,0.05,0.4,0.1,0.5,20372262
a,2,0.05,0.4,0.0,0.6,20810832
a,2,0.05,0.5,0.5,0.0,14527086
a,2,0.05,0.5,0.4,0.1,15813927
a,2,0.05,0.5,0.3,0.2,16553318
a,2,0.05,0.5,0.2,0.3,17187745
a,2,0.05,0.5,0.1,0.4,17737177
a,2,0.05,0.5,0.0,0.5,18486987
a,2,0.05,0.6,0.4,0.0,12533950
a,2,0.05,0.6,0.3,0.1,13506817
a,2,0.05,0.6,0.2,0.2,14067322
a,2,0.05,0.6,0.1,0.3,15054515
a,2,0.05,0.6,0.0,0.4,15613664
a,2,0.05,0.7,0.3,0.0,10862443
a,2,0.05,0.7,0.2,0.1,11723057
a,2,0.05,0.7,0.1,0.2,12175426
a,2,0.05,0.7,0.0,0.3,12615189
a,2,0.05,0.8,0.2,0.0,9229486
a,2,0.05,0.8,0.1,0.1,9931426
a,2,0.05,0.8,0.0,0.2,10641941
a,2,0.05,0.9,0.1,0.0,7554646
a,2,0.05,0.9,0.0,0.1,8455782
a,2,0.05,1.0,0.0,0.0,5769523
a,2,0.1,0.0,1.0,0.0,23117103
a,2,0.1,0.0,0.9,0.1,23213006
a,2,0.1,0.0,0.8,0.2,23222818
a,2,0.1,0.0,0.7,0.3,23051639
a,2,0.1,0.0,0.6,0.4,22729001
a,2,0.1,0.0,0.5,0.5,22094479
a,2,0.1,0.0,0.4,0.6,21331826
a,2,0.1,0.0,0.3,0.7,20402094
a,2,0.1,0.0,0.2,0.8,19293762
a,2,0.1,0.0,0.1,0.9,18099761
a,2,0.1,0.0,0.0,1.0,16778544
a,2,0.1,0.1,0.9,0.0,22859872
a,2,0.1,0.1,0.8,0.1,23138970
a,2,0.1,0.1,0.7,0.2,23256319
a,2,0.1,0.1,0.6,0.3,23321678
a,2,0.1,0.1,0.5,0.4,23120971
a,2,0.1,0.1,0.4,0.5,22638470
a,2,0.1,0.1,0.3,0.6,22149061
a,2,0.1,0.1,0.2,0.7,21398915
a,2,0.1,0.1,0.1,0.8,20411926
a,2,0.1,0.1,0.0,0.9,19284307
a,2,0.1,0.2,0.8,0.0,22094869
a,2,0.1,0.2,0.7,0.1,22590411
a,2,0.1,0.2,0.6,0.2,22949430
a,2,0.1,0.2,0.5,0.3,23101660
a,2,0.1,0.2,0.4,0.4,22964099
a,2,0.1,0.2,0.3,0.5,22831282
a,2,0.1,0.2,0.2,0.6,22428774
a,2,0.1,0.2,0.1,0.7,21887130
a,2,0.1,0.2,0.0,0.8,21186223
a,2,0.1,0.3,0.7,0.0,20788312
a,2,0.1,0.3,0.6,0.1,21402171
a,2,0.1,0.3,0.5,0.2,21974494
a,2,0.1,0.3,0.4,0.3,22360658
a,2,0.1,0.3,0.3,0.4,22523022
a,2,0.1,0.3,0.2,0.5,22474962
a,2,0.1,0.3,0.1,0.6,22225025
a,2,0.1,0.3,0.0,0.7,21915864
a,2,0.1,0.4,0.6,0.0,19497420
a,2,0.1,0.4,0.5,0.1,20123781
a,2,0.1,0.4,0.4,0.2,20615709
a,2,0.1,0.4,0.3,0.3,21117730
a,2,0.1,0.4,0.2,0.4,21382296
a,2,0.1,0.4,0.1,0.5,21672635
a,2,0.1,0.4,0.0,0.6,21698856
a,2,0.1,0.5,0.5,0.0,17916670
a,2,0.1,0.5,0.4,0.1,18719972
a,2,0.1,0.5,0.3,0.2,19298131
a,2,0.1,0.5,0.2,0.3,19719872
a,2,0.1,0.5,0.1,0.4,20033157
a,2,0.1,0.5,0.0,0.5,20335225
a,2,0.1,0.6,0.4,0.0,16523278
a,2,0.1,0.6,0.3,0.1,17225751
a,2,0.1,0.6,0.2,0.2,17750701
a,2,0.1,0.6,0.1,0.3,18234578
a,2,0.1,0.6,0.0,0.4,18581380
a,2,0.1,0.7,0.3,0.0,14758333
a,2,0.1,0.7,0.2,0.1,15620809
a,2,0.1,0.7,0.1,0.2,16165644
a,2,0.1,0.7,0.0,0.3,16892279
a,2,0.1,0.8,0.2,0.0,12752025
a,2,0.1,0.8,0.1,0.1,13742591
a,2,0.1,0.8,0.0,0.2,14530725
a,2,0.1,0.9,0.1,0.0,10556995
a,2,0.1,0.9,0.0,0.1,11616765
a,2,0.1,1.0,0.0,0.0,7789663
a,2,0.2,0.0,1.0,0.0,20689153
a,2,0.2,0.0,0.9,0.1,20725154
a,2,0.2,0.0,0.8,0.2,20705184
a,2,0.2,0.0,0.7,0.3,20640576
a,2,0.2,0.0,0.6,0.4,20506142
a,2,0.2,0.0,0.5,0.5,20282491
