task,sigma_s,sigma_r,wb,wg,wr,error
a,2,0.05,0.0,0.5,0.5,11357971
a,2,0.05,0.0,0.4,0.6,11027205
a,2,0.05,0.0,0.3,0.7,10610629
a,2,0.05,0.0,0.2,0.8,10125406
a,2,0.05,0.0,0.1,0.9,9564528
a,2,0.05,0.0,0.0,1.0,9017301
a,2,0.05,0.1,0.9,0.0,10888759
a,2,0.05,0.1,0.8,0.1,11305808
a,2,0.05,0.1,0.7,0.2,11611134
a,2,0.05,0.1,0.6,0.3,11735545
a,2,0.05,0.1,0.5,0.4,11693878
a,2,0.05,0.1,0.4,0.5,11554940
a,2,0.05,0.1,0.3,0.6,11332972
a,2,0.05,0.1,0.2,0.7,10949748
a,2,0.05,0.1,0.1,0.8,10425530
a,2,0.05,0.1,0.0,0.9,9850981
a,2,0.05,0.2,0.8,0.0,10579289
a,2,0.05,0.2,0.7,0.1,10859223
a,2,0.05,0.2,0.6,0.2,11181066
a,2,0.05,0.2,0.5,0.3,11414128
a,2,0.05,0.2,0.4,0.4,11548861
a,2,0.05,0.2,0.3,0.5,11528030
a,2,0.05,0.2,0.2,0.6,11373374
a,2,0.05,0.2,0.1,0.7,11122144
a,2,0.05,0.2,0.0,0.8,10668362
a,2,0.05,0.3,0.7,0.0,10288684
a,2,0.05,0.3,0.6,0.1,10546616
a,2,0.05,0.3,0.5,0.2,10781192
a,2,0.05,0.3,0.4,0.3,10985479
a,2,0.05,0.3,0.3,0.4,11142849
a,2,0.05,0.3,0.2,0.5,11207955
a,2,0.05,0.3,0.1,0.6,11166744
a,2,0.05,0.3,0.0,0.7,11002379
a,2,0.05,0.4,0.6,0.0,10011909
a,2,0.05,0.4,0.5,0.1,10204957
a,2,0.05,0.4,0.4,0.2,10405096
a,2,0.05,0.4,0.3,0.3,10556686
a,2,0.05,0.4,0.2,0.4,10689322
a,2,0.05,0.4,0.1,0.5,10769567
a,2,0.05,0.4,0.0,0.6,10749926
a,2,0.05,0.5,0.5,0.0,9658519
a,2,0.05,0.5,0.4,0.1,9806633
a,2,0.05,0.5,0.3,0.2,9979305
a,2,0.05,0.5,0.2,0.3,10059372
a,2,0.05,0.5,0.1,0.4,10195781
a,2,0.05,0.5,0.0,0.5,10283622
a,2,0.05,0.6,0.4,0.0,9203340
a,2,0.05,0.6,0.3,0.1,9346743
a,2,0.05,0.6,0.2,0.2,9456120
a,2,0.05,0.6,0.1,0.3,9577117
a,2,0.05,0.6,0.0,0.4,9629370
a,2,0.05,0.7,0.3,0.0,8692327
a,2,0.05,0.7,0.2,0.1,8818128
a,2,0.05,0.7,0.1,0.2,8918333
a,2,0.05,0.7,0.0,0.3,8962365
a,2,0.05,0.8,0.2,0.0,8104005
a,2,0.05,0.8,0.1,0.1,8239899
a,2,0.05,0.8,0.0,0.2,8336603
a,2,0.05,0.9,0.1,0.0,7569710
